model,val_roc_auc,val_pr_auc,test_roc_auc,test_pr_auc,test_brier,test_f1,test_recall,test_precision,threshold
XGBoost,0.6571464007689294,0.43591548799966534,0.6636811037983663,0.44544060761365467,0.22331412136554718,0.4904128129934582,0.7389530931339225,0.36698176907494934,0.43999999999999984
05_nn_wide_deep_focal,0.653063053187155,0.42933841698375264,0.6614565698159276,0.4356121681984761,0.19700704514980316,0.017461383478844864,0.008837525492861998,0.7222222222222222,0.43999999999999984
LightGBM,0.6502394299326513,0.43109971748350107,0.6699733650802321,0.44763220460966935,0.21998297412727033,0.4968800554656806,0.7307953772943576,0.37640056022408963,0.43999999999999984
05_nn_wide_and_deep,0.649779052509216,0.4187122259417131,0.6496047975031494,0.4207603015988933,0.2364000529050827,0.48244147157190637,0.7845003399048266,0.3483247811651072,0.43999999999999984
RandomForest,0.6490161841090658,0.4215167345114951,0.6534278382240095,0.4289589787839997,0.2289709541625448,0.4806989028850061,0.8042148198504419,0.34279918864097364,0.43999999999999984
05_nn_embedding_focal_loss,0.6486663646121849,0.4216216902994662,0.6611969176973871,0.43451896375162324,0.19757920503616333,0.0,0.0,0.0,0.43999999999999984
05_nn_dense_baseline,0.6467368388364741,0.42574568481978015,0.6552801979342316,0.4219414816229108,0.23434597253799438,0.48977906256452614,0.8062542488103331,0.3517200474495848,0.43999999999999984
05_nn_embedding_baseline,0.6425448975552668,0.40872948136261583,0.6489443495171929,0.41917246264200986,0.23287516832351685,0.48739139648230556,0.7817811012916384,0.354064039408867,0.43999999999999984
05_nn_wide_and_deep_deeper,0.6422421259746774,0.4143457699862646,0.6475192559732146,0.41101783952654547,0.2327934205532074,0.48222698072805137,0.7654656696125085,0.3519849953110347,0.43999999999999984
05_nn_embedding_strong_weight,0.6417296497652094,0.4117606325089883,0.6441920422986023,0.40811672584538555,0.27183711528778076,0.4787867846181621,0.9014276002719238,0.32595870206489674,0.43999999999999984
06_teacher,0.6377800566969481,0.4183222689413876,0.6450564893013225,0.4271037621238862,0.19329890608787537,0.262615859938208,0.1733514615907546,0.5414012738853503,0.43999999999999984
Logistic,0.5882860228965279,0.3474935572999267,0.5939871453494397,0.35597433643480497,0.243780075724061,0.456036866359447,0.840924541128484,0.31284774911482044,0.43999999999999984
