feature,Q1,Q3,IQR,lower_bound,upper_bound,n_outliers,pct_outliers
PercChangeRevenues,-7.1,1.6,8.7,-33.2,27.7,8468,16.59
RoamingCalls,0.0,0.3,0.3,-0.9,1.2,6926,13.57
CallWaitingCalls,0.0,1.3,1.3,-3.9,5.2,4711,9.23
CustomerCareCalls,0.0,1.7,1.7,-5.1,6.8,3994,7.82
ThreewayCalls,0.0,0.3,0.3,-0.9,1.2,3234,6.34
OverageMinutes,0.0,41.0,41.0,-123.0,164.0,3173,6.22
BlockedCalls,0.0,3.7,3.7,-11.1,14.8,3093,6.06
PercChangeMinutes,-83.0,66.0,149.0,-530.0,513.0,2659,5.21
DirectorAssistedCalls,0.0,0.99,0.99,-2.97,3.96,2616,5.12
ReferralsMadeBySubscriber,0.0,0.0,0.0,0.0,0.0,2384,4.67
InboundCalls,0.0,9.3,9.3,-27.9,37.2,2358,4.62
AdjustmentsToCreditRating,0.0,0.0,0.0,0.0,0.0,1838,3.6
RetentionCalls,0.0,0.0,0.0,0.0,0.0,1745,3.42
DroppedBlockedCalls,1.7,12.3,10.6,-30.1,44.1,1564,3.06
DroppedCalls,0.7,7.7,7.0,-20.3,28.7,1406,2.75
UnansweredCalls,5.3,36.3,31.0,-87.7,129.3,1326,2.6
OffPeakCallsInOut,11.0,88.7,77.7,-222.1,321.8,1246,2.44
ReceivedCalls,8.3,153.5,145.2,-427.3,589.1,1209,2.37
Handsets,1.0,2.0,1.0,-2.0,5.0,1149,2.25
OutboundCalls,3.3,34.0,30.7,-88.8,126.1,1055,2.07
MonthlyRevenue,33.61,71.06,37.46,-78.76,183.43,1010,1.98
RetentionOffersAccepted,0.0,0.0,0.0,0.0,0.0,881,1.73
PeakCallsInOut,23.0,121.3,98.3,-271.9,416.2,872,1.71
MonthlyMinutes,158.0,723.0,565.0,-1537.0,2418.0,540,1.06
HandsetModels,1.0,2.0,1.0,-2.0,5.0,281,0.55
TotalRecurringCharge,30.0,60.0,30.0,-60.0,150.0,249,0.49
CallForwardingCalls,0.0,0.0,0.0,0.0,0.0,234,0.46
UniqueSubs,1.0,2.0,1.0,-2.0,5.0,234,0.46
CurrentEquipmentDays,205.0,515.0,310.0,-725.0,1445.0,101,0.2
ActiveSubs,1.0,2.0,1.0,-2.0,5.0,23,0.05
