feature,category,n,churn_rate,churn_rate_pct,lift_pctpt
Homeownership,Known,33987,0.2839615146967958,28.39615146967958,-0.42238830738861033
Homeownership,Unknown,17060,0.2966002344665885,29.66002344665885,0.8414836695906591
MaritalStatus,No,12696,0.2710302457466919,27.10302457466919,-1.715515202399004
MaritalStatus,Unknown,19700,0.3018781725888325,30.18781725888325,1.3692774818150566
MaritalStatus,Yes,18651,0.2854002466355691,28.540024663556913,-0.27851511351127956
HasCreditCard,No,16544,0.2938225338491296,29.38225338491296,0.563713607844768
HasCreditCard,Yes,34503,0.2854824218183926,28.54824218183926,-0.27029759522892993
NonUSTravel,No,48168,0.288511044676964,28.8511044676964,0.032564690628206217
NonUSTravel,Yes,2879,0.2827370614796804,28.273706147968042,-0.5448336291001499
NewCellphoneUser,No,41223,0.2898867137277733,28.98867137277733,0.17013159570913872
NewCellphoneUser,Yes,9824,0.2810464169381108,28.10464169381108,-0.713898083257114
HandsetWebCapable,No,5001,0.3735252949410118,37.35252949410118,8.533989717032986
HandsetWebCapable,Yes,46046,0.27891673543847456,27.891673543847457,-0.9268662332207356
Occupation,Clerical,986,0.29310344827586204,29.310344827586203,0.4918050505180127
Occupation,Crafts,1519,0.2804476629361422,28.04476629361422,-0.7737734834539711
Occupation,Homemaker,157,0.3248407643312102,32.48407643312102,3.6655366560528257
Occupation,Other,37637,0.2904588569758482,29.045885697584822,0.2273459205166306
Occupation,Professional,8755,0.2817818389491719,28.17818389491719,-0.6403558821510003
Occupation,Retired,733,0.252387448840382,25.2387448840382,-3.579794893029992
Occupation,Self,879,0.2764505119453925,27.64505119453925,-1.173488582528942
Occupation,Student,381,0.30971128608923887,30.971128608923888,2.152588831855695
PrizmCode,Other,24655,0.28622997363617925,28.622997363617923,-0.19554241345026702
PrizmCode,Rural,2425,0.3171134020618557,31.711340206185568,2.8928004291173757
PrizmCode,Suburban,16378,0.2814140920747344,28.14140920747344,-0.6771305695947527
PrizmCode,Town,7589,0.2999077612333641,29.99077612333641,1.1722363462682184
