feature,raw_feature_name,origin,semantic_group,type,transform_encoding,keep_glm,keep_tree,keep_nn,decision_type,decision_type_short,reason_eda,zero_as_missing,is_sparse_zero,is_momentum,apply_log,apply_winsor,target_encode,impute_strategy
CustomerID,CustomerID,Original,id_target,Identifier (ID),–,FALSE,FALSE,FALSE,Drop,drop,Unique identifier with no predictive value (theoretically no relation to churn).,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none
Churn,Churn,Original,id_target,Binary target,Encoded to 0/1 (Churn01),FALSE,FALSE,FALSE,Descriptive only,descriptive_only,Target variable (outcome) – not used as a feature in modeling.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none
MonthlyRevenue,MonthlyRevenue,Original,billing_economics,Numeric (continuous),No transform (highly skewed) – consider log or use alternative features,FALSE,TRUE,FALSE,Replace,replace,Non-monotonic churn relationship; highly correlated with usage and plan charges. Replaced by RevenuePerMinute for price-sensitivity and by usage metrics.,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,median
MonthlyMinutes,MonthlyMinutes,Original,usage_activity,Numeric (continuous),No transform (consider log for GLM if heavy-tailed),TRUE,TRUE,TRUE,Keep,keep,Key usage volume indicator. Churners showed slightly lower average minutes than non-churners. Captures engagement level; included despite correlation with call counts (distinct from revenue per minute).,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,median
TotalRecurringCharge,TotalRecurringCharge,Original,billing_economics,Numeric (continuous),–,FALSE,FALSE,FALSE,Drop,drop,Largely redundant with MonthlyRevenue (plan fee component). Adds little new information (Spearman ρ≈0.76 with revenue). Removing to avoid multicollinearity.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none
DirectorAssistedCalls,DirectorAssistedCalls,Original,usage_activity,Numeric (continuous),–,FALSE,FALSE,FALSE,Drop,drop,Very low usage frequency and no notable churn pattern identified (not highlighted in EDA; likely negligible effect). Considered zero-inflated feature with minimal variance – dropped due to insufficient evidence of impact.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,none
OverageMinutes,OverageMinutes,Original,billing_economics,Numeric (continuous),–,TRUE,TRUE,TRUE,Keep,keep,Indicates bill shock (minutes beyond plan). Many zeros but some high values. Conceptually a churn driver (cost overrun); include with possible 0/1 flag for any overage. Insufficient clear EDA evidence – recommend further analysis (e.g. churn vs no-overage rates).,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,median
RoamingCalls,RoamingCalls,Original,usage_activity,Numeric (continuous),–,FALSE,FALSE,FALSE,Drop,drop,Very low occurrence; not identified as important. No significant churn difference observed (likely trivial usage event). Dropped for parsimony (insufficient evidence of effect).,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,none
PercChangeMinutes,PercChangeMinutes,Original,billing_economics,Numeric (momentum),– (value can be negative/positive),TRUE,TRUE,TRUE,Keep,keep,"Rate of usage change – potential churn predictor (e.g. sharp drop in minutes might precede churn). Not confirmed in current EDA (no clear trend plotted), but theoretically important. Insufficient evidence; recommend further EDA (e.g. trend vs churn risk) before final modeling.",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,median
PercChangeRevenues,PercChangeRevenues,Original,billing_economics,Numeric (momentum),– (negative/positive),TRUE,TRUE,TRUE,Keep,keep,"Rate of revenue change – analogous to usage change. Could signal customers reducing spend before churning. Kept for now due to potential value, but EDA did not conclusively show its effect (would benefit from 2D risk plot analysis).",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,median
DroppedCalls,DroppedCalls,Original,quality_experience,Numeric (count),–,FALSE,FALSE,FALSE,Replace,replace,Represents call quality issues. Replaced by DroppedBlockedCalls (combined metric) and by DroppedQuality_flag. Highly correlated with DroppedBlockedCalls (ρ=0.88). We use the aggregate measure to avoid double-counting.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,median
BlockedCalls,BlockedCalls,Original,quality_experience,Numeric (count),–,FALSE,FALSE,FALSE,Replace,replace,Same as above – merged into DroppedBlockedCalls. Individual blocked call counts add no extra insight beyond the combined metric (DroppedBlockedCalls has ρ≈0.88 with DroppedCalls).,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,median
UnansweredCalls,UnansweredCalls,Original,quality_experience,Numeric (count),–,FALSE,FALSE,FALSE,Drop,drop,"Calls not answered by the customer. Widespread (91% have ≥1), mostly reflecting high usage rather than dissatisfaction. No clear churn signal isolated (incorporated in quality flag but as standalone adds noise). Dropped for model simplicity.",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,none
