feature,origin,semantic_group,type,transform_encoding,keep_glm,keep_tree,keep_nn,decision_type,reason_eda,zero_as_missing,is_sparse_zero,is_momentum,apply_log,apply_winsor,target_encode
CustomerID,Original,id_target,Identifier (ID),–,N,N,N,Drop,Unique identifier with no predictive value (theoretically no relation to churn).,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Churn,Original,id_target,Binary target,Encoded to 0/1 (Churn01),–,–,–,Descriptive only,Target variable (outcome) – not used as a feature in modeling.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MonthlyRevenue,Original,billing_economics,Numeric (continuous),No transform (highly skewed) – consider log or use alternative features,N,Y (optional),N,Replace,Non-monotonic churn relationship; highly correlated with usage and plan charges. Replaced by RevenuePerMinute for price-sensitivity and by usage metrics.,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
MonthlyMinutes,Original,usage_activity,Numeric (continuous),No transform (consider log for GLM if heavy-tailed),Y,Y,Y,Keep,Key usage volume indicator. Churners showed slightly lower average minutes than non-churners. Captures engagement level; included despite correlation with call counts (distinct from revenue per minute).,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
TotalRecurringCharge,Original,billing_economics,Numeric (continuous),–,N,N,N,Drop,Largely redundant with MonthlyRevenue (plan fee component). Adds little new information (Spearman ρ≈0.76 with revenue). Removing to avoid multicollinearity.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DirectorAssistedCalls,Original,usage_activity,Numeric (continuous),–,N,N,N,Drop,Very low usage frequency and no notable churn pattern identified (not highlighted in EDA; likely negligible effect). Considered zero-inflated feature with minimal variance – dropped due to insufficient evidence of impact.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
OverageMinutes,Original,billing_economics,Numeric (continuous),–,Y (flag or transform),Y,Y,Keep,Indicates bill shock (minutes beyond plan). Many zeros but some high values. Conceptually a churn driver (cost overrun); include with possible 0/1 flag for any overage. Insufficient clear EDA evidence – recommend further analysis (e.g. churn vs no-overage rates).,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
RoamingCalls,Original,usage_activity,Numeric (continuous),–,N,N,N,Drop,Very low occurrence; not identified as important. No significant churn difference observed (likely trivial usage event). Dropped for parsimony (insufficient evidence of effect).,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
PercChangeMinutes,Original,billing_economics,Numeric (momentum),– (value can be negative/positive),Y (perhaps binned),Y,Y,Keep,"Rate of usage change – potential churn predictor (e.g. sharp drop in minutes might precede churn). Not confirmed in current EDA (no clear trend plotted), but theoretically important. Insufficient evidence; recommend further EDA (e.g. trend vs churn risk) before final modeling.",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
PercChangeRevenues,Original,billing_economics,Numeric (momentum),– (negative/positive),Y (perhaps binned),Y,Y,Keep,"Rate of revenue change – analogous to usage change. Could signal customers reducing spend before churning. Kept for now due to potential value, but EDA did not conclusively show its effect (would benefit from 2D risk plot analysis).",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
DroppedCalls,Original,quality_experience,Numeric (count),–,N,N,N,Replace,Represents call quality issues. Replaced by DroppedBlockedCalls (combined metric) and by DroppedQuality_flag. Highly correlated with DroppedBlockedCalls (ρ=0.88). We use the aggregate measure to avoid double-counting.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
BlockedCalls,Original,quality_experience,Numeric (count),–,N,N,N,Replace,Same as above – merged into DroppedBlockedCalls. Individual blocked call counts add no extra insight beyond the combined metric (DroppedBlockedCalls has ρ≈0.88 with DroppedCalls).,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
UnansweredCalls,Original,quality_experience,Numeric (count),–,N,N,N,Drop,"Calls not answered by the customer. Widespread (91% have ≥1), mostly reflecting high usage rather than dissatisfaction. No clear churn signal isolated (incorporated in quality flag but as standalone adds noise). Dropped for model simplicity.",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
CustomerCareCalls,Original,support_retention,Numeric (count),–,N,N,N,Replace,"Number of support calls. Strong churn indicator, but modeled as CustomerCareCalls_flag (any vs none) to capture complaint presence. Replacing numeric count (small values) with binary flag since having ≥1 call (29% churn vs 23% for none, per EDA bar height【42†】) is the key signal.",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ThreewayCalls,Original,usage_activity,Numeric (count),–,N,N,N,Drop,Rare feature (conference calls) with no observed churn impact. Not highlighted in any analysis – likely irrelevant. Dropped to reduce features (insufficient evidence of any effect).,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ReceivedCalls,Original,usage_activity,Numeric (count),–,N,N,N,Drop,Highly correlated with OutboundCalls (ρ≈0.82) and total minutes. Provides no unique insight (heavy callers both make and receive many calls). Dropped to avoid redundancy.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
OutboundCalls,Original,usage_activity,Numeric (count),–,Y,Y,Y,Keep,"Outgoing call count. Correlated with usage, but retained to capture calling behavior. Heavy callers tend to churn slightly less (non-churn had higher outbound call counts on average). Captures user engagement style (active vs passive).",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
InboundCalls,Original,usage_activity,Numeric (count),–,N,N,N,Drop,Redundant with ReceivedCalls (both measure inbound calling; ρ≈0.75). No added predictive value beyond other usage metrics. Dropped for collinearity reduction.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
PeakCallsInOut,Original,usage_activity,Numeric (count),–,N,N,N,Drop,"Peak-time call count (in+out). Strongly correlated with OffPeakCallsInOut (ρ≈0.83) and with total usage. Time-of-day usage pattern did not show unique churn discrimination in EDA (not singled out), so it’s dropped to simplify the model.",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
OffPeakCallsInOut,Original,usage_activity,Numeric (count),–,N,N,N,Drop,"Off-peak call count. Redundant with PeakCallsInOut and MonthlyMinutes (ρ≥0.79 with both). No distinct churn pattern observed by itself, so removed as a separate feature.",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
DroppedBlockedCalls,Original,quality_experience,Numeric (count),–,Y,Y,Y,Keep,"Combined dropped+blocked calls (network issues). Churners experienced slightly fewer such events on average (8.58 vs 10.17) due to lower usage, but presence of any issues is still a churn factor. Retained as a consolidated quality metric (with possible non-linear treatment).",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
CallForwardingCalls,Original,quality_experience,Numeric (count),–,N,N,N,Drop,Very low incidence feature (call forwarding uses). No evidence of influence on churn (not present in top factors). Dropped as likely noise.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
CallWaitingCalls,Original,quality_experience,Numeric (count),–,N,N,N,Drop,Low incidence. Mild correlation with overall calls (peak-time load) but churn correlation essentially zero (ρ≈-0.038). Removed for irrelevance.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
